abbrv,statefp,cluster,macro_period,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AL,01,1,-1.0,0.10085522312859192,0.09357431812330763,0.11556080004517386,0.08477267776021456,0.14103689465295285,0.07429344969444927,0.07583021512502765,0.13352990931425085,0.07913785831299314,0.10140865799931294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,01,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11502697871774889,0.1247473007789704,0.07587965485432352,0.08208098056646622,0.13325350032555905,0.07843995235391849,0.11192364907547717,0.08524306873634398,0.09569477138356175,0.09771014548152827
AK,02,6,-1.0,0.12300291577073401,0.09464906406754704,0.07820819386548988,0.03156878195116169,0.12906489860623666,0.08618221512982903,0.10616978425660158,0.11325619670830361,0.13152249698361304,0.10637545482293792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1081636291418879,0.1372081845054856,0.0717818162422879,0.07412283652701189,0.14580377842979253,0.09272706673820377,0.13141082590194167,0.09081896059718486,0.07702379158030995,0.07093910992875493
AZ,04,3,-1.0,0.10695451015363412,0.08328738923676565,0.08955040370793342,0.1359749794071093,0.10841570321364453,0.08751149208234056,0.08242461140028408,0.11430822249754793,0.09430545376538711,0.09726723733067362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,04,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11779533684881259,0.13044029913855118,0.08205586975826767,0.07821437381037163,0.11716552742971544,0.07902436880812515,0.11995357958332041,0.0798508139938488,0.09951854080172878,0.09598129186942266
AR,05,3,-1.0,0.09953762980372603,0.06563867491517049,0.10487459731051949,0.1537298745169902,0.09717304690727102,0.07486496093307636,0.09698150909102675,0.1278852221027795,0.08854131761159914,0.09077316986313506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,05,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10380129062806268,0.12393820208934955,0.0734435994941068,0.043597672993025506,0.13345073612900563,0.0801054749873478,0.07799525555021253,0.0841909194174391,0.12669268579233484,0.1527841684453369
CA,06,4,-1.0,0.10629629309473893,0.08597940488638671,0.09599025507805034,0.1236546941252717,0.10582891793230455,0.08634172162323428,0.08415680731094,0.12647777488948087,0.08940477509201772,0.09586935921265037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,06,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11814766739748976,0.11732663147922244,0.07969270121734519,0.08306580073413888,0.12134712079441676,0.08062516857941072,0.1289650270033617,0.08335999998613546,0.09674014783685829,0.09072973697577093
CO,08,4,-1.0,0.11576002966064596,0.09853885723675337,0.10101850376877387,0.10437920990108994,0.10104435312310162,0.08742235430629601,0.08260981097699925,0.12400146174878218,0.08967452033010913,0.09555090271877438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,08,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11717782276252146,0.1247234040089712,0.07548807300160955,0.07773769279477895,0.1228828527700975,0.08318415826456466,0.12371738790765525,0.08267044062419994,0.09914908980546744,0.09326908006455276
CT,09,1,-1.0,0.11084566817079851,0.09122015273861842,0.09291473536213109,0.08837133757944958,0.1225889272835433,0.10657924960762773,0.07976463803300655,0.11330872084595647,0.09111887154167507,0.10328770245317342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,09,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11672303584068121,0.11904160473163272,0.07692454432226119,0.08186739054217905,0.11033154450646633,0.08062910468455198,0.1398402307407128,0.08728632032387684,0.10038446319088176,0.08697176297893632
DE,10,8,-1.0,0.14637173674906118,0.08456869682694222,0.047249009629456225,0.058050956179950444,0.15303204638108156,0.12895866823359037,0.08529180418085401,0.06871338040203916,0.11368619572125413,0.1140775048093596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,10,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11608612165242442,0.10851036847510666,0.0875295606507126,0.07480867523013297,0.13019101718474585,0.08069071543297827,0.1356263835007292,0.08663746413819277,0.09390767503043752,0.0860120205920344
DC,11,1,-1.0,0.10683646728477034,0.0989420461917278,0.0937789766822221,0.09994899198795466,0.11071923142544643,0.09030574412048824,0.08393667070773574,0.11056635274008515,0.09347493812395982,0.11149058409538387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC,11,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11624251724220974,0.12440284427888451,0.08450603881209998,0.08369019413307467,0.1144151344435187,0.07822511558072001,0.12574814098045642,0.08283460014691847,0.09674589332643423,0.09318952307591236
FL,12,1,-1.0,0.10589832461625683,0.09610876710831069,0.09479310680458151,0.1042730604230078,0.11429928980152498,0.08909967516056504,0.08331697719917794,0.10296033961907082,0.09549981067353042,0.11375065185036949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11787376377101934,0.12080550915851095,0.07955853239125356,0.0795760047589768,0.12074886842979383,0.0819142033823929,0.12457513601894162,0.08269089249489724,0.09996186792140058,0.09229522371289091
GA,13,6,-1.0,0.1072538370712842,0.09915821251304412,0.08578733330767961,0.08415941997598575,0.12214906592493528,0.1112718897869331,0.08097972849913701,0.09529486532509582,0.09682397193604995,0.11712167942176807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GA,13,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1230520362564703,0.12897430093984258,0.07338571246178834,0.08360218038236254,0.10990259549733389,0.07698833880115946,0.135851525435375,0.08330565572021323,0.09918867847013832,0.08574897791208332
HI,15,3,-1.0,0.10252111959903512,0.07902362349452867,0.1091969494123263,0.12241708884875362,0.0975255803828608,0.09118707384383491,0.08521556243404803,0.11373755167320668,0.08859057403156306,0.11058488019396252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HI,15,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12037451241585408,0.11093066871110371,0.06622960791636297,0.08424214635156052,0.13584399620294485,0.07853202920996787,0.12824775741866337,0.08432257816441477,0.10066384446459169,0.09061286145323864
ID,16,6,-1.0,0.12347341141728467,0.10818928138807762,0.06932823077537292,0.07278306934289461,0.08331921462749325,0.12388432599864034,0.09273610689872226,0.13086827648587004,0.09191311508157225,0.10350497500581103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,16,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13209748701270943,0.09459937335022567,0.07437356101917542,0.07880165730788974,0.14152319765192753,0.08029424896159647,0.14556045576718493,0.08495331101512872,0.09352569309118623,0.07427101765950181
IL,17,1,-1.0,0.10428549828542655,0.10020768871940235,0.08991157007219122,0.09880714193515135,0.11480972368953113,0.09332706468149818,0.08580276384931586,0.11694030386636978,0.09635718296221508,0.09955106512738648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,17,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11988647461911563,0.1234540065757439,0.07620115271066488,0.08490619313841388,0.11811262584851456,0.076027810094983,0.1271992610320199,0.08236036197768926,0.09867518893999788,0.09317692716369165
IN,18,3,-1.0,0.10319375628274163,0.09893413390156675,0.09554834183620775,0.13061913125643537,0.10183885809590107,0.08498640423249754,0.08891284999824861,0.11516028054947941,0.08164862268930483,0.09915762425520938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,18,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11582242282406247,0.12080816444400737,0.0841277357289631,0.0833499470922162,0.11723828143089444,0.08162150149540746,0.12435665926896793,0.08406397846298772,0.09884812567706976,0.08976318559294065
IA,19,6,-1.0,0.11317663676985974,0.11270604713520907,0.08165025457659839,0.07886207071891602,0.1154121049967402,0.1154790179344972,0.09036183294579235,0.08752153914525912,0.09764199936508512,0.10718849927362184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,19,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12186267606035296,0.09904434108295265,0.07149268351317191,0.08265942382300612,0.12204707549346086,0.0788114654284521,0.1492105588338359,0.09250904587815825,0.08880920389248737,0.09355352770994561
KS,20,1,-1.0,0.106927045061744,0.09366325036878716,0.08858750253978902,0.09045611115956313,0.11695565201835288,0.10761215474872672,0.0782671291740733,0.11356577884708219,0.09912976964818676,0.10483560986689185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,20,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111508957841237,0.13229250591626357,0.07853388404105689,0.07850710377099152,0.12041553167172832,0.08465731223203807,0.11215903742110965,0.0857498840183506,0.09940721389283379,0.09716243897871016
KY,21,4,-1.0,0.10677710069478866,0.08543859300457851,0.10198974755077798,0.12062202201516141,0.08542295443711723,0.08917560915472893,0.07108736817535928,0.14393254078602719,0.08760692018201761,0.10794714589147165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,21,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12083215495339085,0.1156183671293298,0.0827277377307121,0.07809136338577809,0.1164554161507947,0.08123588359627174,0.13465805456164717,0.0888352440926779,0.09517351298126774,0.0863722672502777
LA,22,6,-1.0,0.10855367027887056,0.10326647545072831,0.10436382942732433,0.0803053759331173,0.10747791745121851,0.09781943114443345,0.09657105198334429,0.0940456165121811,0.0967287046416181,0.11086793121970909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,22,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11832919409875285,0.12766614542396246,0.09858964336361853,0.07759124657023635,0.10943843745192186,0.07824901884598703,0.1279505413924744,0.08224698630825693,0.09295224366852431,0.08698654509155784
ME,23,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0991259153803533,0.13223854547485392,0.07923541811925643,0.06684497462384112,0.13947315373068267,0.07393994639175185,0.13876376241438937,0.078896966206359,0.0974443140679125,0.09403700422469183
MD,24,4,-1.0,0.10898010633718418,0.08458401342521463,0.09999455091215943,0.12219289041257506,0.10564293038464222,0.08750628398119024,0.08167458846444005,0.13019680809816273,0.08861560935834105,0.09061222186433078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,24,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11918265339985115,0.11774466369221231,0.08189676232036099,0.0859431272000421,0.12121808497966963,0.08022100315474703,0.13105069635617278,0.08145327508448827,0.09287680842499652,0.08841292766826432
MA,25,4,-1.0,0.10640770901985357,0.0857566377558521,0.0940023539306272,0.11344860642034801,0.10875418070012689,0.0889108611091284,0.0816488204183987,0.13118425717951343,0.09023698549394765,0.09964959112561958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,25,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11656622103745201,0.1403332660564849,0.07729427285765499,0.08194796309593338,0.11447006726852137,0.07669850093237693,0.11710230863463136,0.08166136848694118,0.09865059667342496,0.09527543693978675
MI,26,4,-1.0,0.10856918647940379,0.08429179568733183,0.09821888480644908,0.11341008508169545,0.11599911425798624,0.08812635028469973,0.07961947262354742,0.12748673586559314,0.09132783144564235,0.09295054689820054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,26,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11813723500176415,0.11448306282598275,0.07962212245155605,0.08165029076479734,0.12257421221854145,0.08101717014248185,0.1301312238061511,0.0834271970512913,0.09550918084345456,0.09344830677600734
MN,27,4,-1.0,0.11145289805174495,0.07812108282698318,0.09883699058787897,0.11139637087937444,0.11065829345568394,0.08469654403549308,0.07894365873265391,0.13873878920606028,0.09334795777841161,0.0938074173599792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,27,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12250426690666417,0.10469924473674509,0.0723343728372948,0.07853014335261983,0.11399985227125128,0.08831283004408431,0.13842477193957187,0.08927129086829731,0.09611432310672548,0.09580890579904901
MS,28,3,-1.0,0.08879176545077272,0.0979615116595121,0.10877283652974072,0.13993707816865994,0.07979503918886381,0.0776260464973158,0.08613627905144029,0.12881037525065972,0.08802554750996876,0.10414352236404072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,28,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11216221734609971,0.12247403412737101,0.09769514880138913,0.08089938184922707,0.10766191480184188,0.07518969192384996,0.1345890097190846,0.08357578680198297,0.09335591091488107,0.0923969056142774
